study;;g;lower;upper;p;age_mean_PD;age_mean_HC
Brodacki;2008;1.219;0.617;1.821;<.001;69.5;65.4
Bu;2015;0.318;0.079;0.556;.009;67;68
Dobbs;1999;0.248;-0.029;0.525;.08;69.4;61.4
Dursun;2015;-1.240;-1.742;-0.737;<.001;71.7;72.1
Gruden;2012;2.379;1.709;3.048;<.001;60.8;63.0
Hofmann;2009;0.060;-0.447;0.567;.82;66;60
Koziorowski;2012;0.199;-0.271;0.669;.41;59;64
Lindqvist;2012;0.448;0.071;0.825;.02;64.2;64.8
Scalzo;2010;0.582;0.067;1.098;.03;;65.7
Selikhova;2002;-0.493;-1.121;0.135;.12;69.7;62.45
Stypu?a;1996;-0.148;-0.719;0.423;.61;64.6;
Tang;2014;0.691;0.371;1.010;<.001;76.3;75.4
Williams-Gray;2016;0.173;-0.068;0.414;.16;66.4;68
